sample,fastq_1,fastq_2,strandedness
FCx_C21,/workspace/projects/ippas-kukla-dexrnaseq/raw/X204SC23040629-Z01-F001/01.RawData/FCx_C21/FCx_C21_EKRO230001503-1A_HYCC7DSX5_L3_1.fq.gz,/workspace/projects/ippas-kukla-dexrnaseq/raw/X204SC23040629-Z01-F001/01.RawData/FCx_C21/FCx_C21_EKRO230001503-1A_HYCC7DSX5_L3_2.fq.gz,auto
FCx_C22,/workspace/projects/ippas-kukla-dexrnaseq/raw/X204SC23040629-Z01-F001/01.RawData/FCx_C22/FCx_C22_EKRO230001507-1A_HYCC7DSX5_L3_1.fq.gz,/workspace/projects/ippas-kukla-dexrnaseq/raw/X204SC23040629-Z01-F001/01.RawData/FCx_C22/FCx_C22_EKRO230001507-1A_HYCC7DSX5_L3_2.fq.gz,auto
FCx_C23,/workspace/projects/ippas-kukla-dexrnaseq/raw/X204SC23040629-Z01-F001/01.RawData/FCx_C23/FCx_C23_EKRO230001511-1A_H3HM7DSX7_L3_1.fq.gz,/workspace/projects/ippas-kukla-dexrnaseq/raw/X204SC23040629-Z01-F001/01.RawData/FCx_C23/FCx_C23_EKRO230001511-1A_H3HM7DSX7_L3_2.fq.gz,auto
FCx_C23,/workspace/projects/ippas-kukla-dexrnaseq/raw/X204SC23040629-Z01-F001/01.RawData/FCx_C23/FCx_C23_EKRO230001511-1A_H3HMGDSX7_L3_1.fq.gz,/workspace/projects/ippas-kukla-dexrnaseq/raw/X204SC23040629-Z01-F001/01.RawData/FCx_C23/FCx_C23_EKRO230001511-1A_H3HMGDSX7_L3_2.fq.gz,auto
FCx_C24,/workspace/projects/ippas-kukla-dexrnaseq/raw/X204SC23040629-Z01-F001/01.RawData/FCx_C24/FCx_C24_EKRO230001515-1A_H3HYGDSX7_L4_1.fq.gz,/workspace/projects/ippas-kukla-dexrnaseq/raw/X204SC23040629-Z01-F001/01.RawData/FCx_C24/FCx_C24_EKRO230001515-1A_H3HYGDSX7_L4_2.fq.gz,auto
FCx_C24,/workspace/projects/ippas-kukla-dexrnaseq/raw/X204SC23040629-Z01-F001/01.RawData/FCx_C24/FCx_C24_EKRO230001515-1A_HYCC7DSX5_L3_1.fq.gz,/workspace/projects/ippas-kukla-dexrnaseq/raw/X204SC23040629-Z01-F001/01.RawData/FCx_C24/FCx_C24_EKRO230001515-1A_HYCC7DSX5_L3_2.fq.gz,auto
FCx_C25,/workspace/projects/ippas-kukla-dexrnaseq/raw/X204SC23040629-Z01-F001/01.RawData/FCx_C25/FCx_C25_EKRO230001519-1A_HYCC7DSX5_L3_1.fq.gz,/workspace/projects/ippas-kukla-dexrnaseq/raw/X204SC23040629-Z01-F001/01.RawData/FCx_C25/FCx_C25_EKRO230001519-1A_HYCC7DSX5_L3_2.fq.gz,auto
FCx_C26,/workspace/projects/ippas-kukla-dexrnaseq/raw/X204SC23040629-Z01-F001/01.RawData/FCx_C26/FCx_C26_EKRO230001523-1A_HYCC7DSX5_L3_1.fq.gz,/workspace/projects/ippas-kukla-dexrnaseq/raw/X204SC23040629-Z01-F001/01.RawData/FCx_C26/FCx_C26_EKRO230001523-1A_HYCC7DSX5_L3_2.fq.gz,auto
FCx_C27,/workspace/projects/ippas-kukla-dexrnaseq/raw/X204SC23040629-Z01-F001/01.RawData/FCx_C27/FCx_C27_EKRO230001527-1A_HYCC7DSX5_L3_1.fq.gz,/workspace/projects/ippas-kukla-dexrnaseq/raw/X204SC23040629-Z01-F001/01.RawData/FCx_C27/FCx_C27_EKRO230001527-1A_HYCC7DSX5_L3_2.fq.gz,auto
FCx_D21,/workspace/projects/ippas-kukla-dexrnaseq/raw/X204SC23040629-Z01-F001/01.RawData/FCx_D21/FCx_D21_EKRO230001504-1A_HYCC7DSX5_L3_1.fq.gz,/workspace/projects/ippas-kukla-dexrnaseq/raw/X204SC23040629-Z01-F001/01.RawData/FCx_D21/FCx_D21_EKRO230001504-1A_HYCC7DSX5_L3_2.fq.gz,auto
FCx_D22,/workspace/projects/ippas-kukla-dexrnaseq/raw/X204SC23040629-Z01-F001/01.RawData/FCx_D22/FCx_D22_EKRO230001508-1A_HYCC7DSX5_L3_1.fq.gz,/workspace/projects/ippas-kukla-dexrnaseq/raw/X204SC23040629-Z01-F001/01.RawData/FCx_D22/FCx_D22_EKRO230001508-1A_HYCC7DSX5_L3_2.fq.gz,auto
FCx_D23,/workspace/projects/ippas-kukla-dexrnaseq/raw/X204SC23040629-Z01-F001/01.RawData/FCx_D23/FCx_D23_EKRO230001512-1A_H3HMGDSX7_L4_1.fq.gz,/workspace/projects/ippas-kukla-dexrnaseq/raw/X204SC23040629-Z01-F001/01.RawData/FCx_D23/FCx_D23_EKRO230001512-1A_H3HMGDSX7_L4_2.fq.gz,auto
FCx_D24,/workspace/projects/ippas-kukla-dexrnaseq/raw/X204SC23040629-Z01-F001/01.RawData/FCx_D24/FCx_D24_EKRO230001516-1A_HYCC7DSX5_L3_1.fq.gz,/workspace/projects/ippas-kukla-dexrnaseq/raw/X204SC23040629-Z01-F001/01.RawData/FCx_D24/FCx_D24_EKRO230001516-1A_HYCC7DSX5_L3_2.fq.gz,auto
FCx_D25,/workspace/projects/ippas-kukla-dexrnaseq/raw/X204SC23040629-Z01-F001/01.RawData/FCx_D25/FCx_D25_EKRO230001520-1A_HYCC7DSX5_L3_1.fq.gz,/workspace/projects/ippas-kukla-dexrnaseq/raw/X204SC23040629-Z01-F001/01.RawData/FCx_D25/FCx_D25_EKRO230001520-1A_HYCC7DSX5_L3_2.fq.gz,auto
FCx_D26,/workspace/projects/ippas-kukla-dexrnaseq/raw/X204SC23040629-Z01-F001/01.RawData/FCx_D26/FCx_D26_EKRO230001524-1A_HYCC7DSX5_L3_1.fq.gz,/workspace/projects/ippas-kukla-dexrnaseq/raw/X204SC23040629-Z01-F001/01.RawData/FCx_D26/FCx_D26_EKRO230001524-1A_HYCC7DSX5_L3_2.fq.gz,auto
FCx_D27,/workspace/projects/ippas-kukla-dexrnaseq/raw/X204SC23040629-Z01-F001/01.RawData/FCx_D27/FCx_D27_EKRO230001528-1A_H3HYGDSX7_L4_1.fq.gz,/workspace/projects/ippas-kukla-dexrnaseq/raw/X204SC23040629-Z01-F001/01.RawData/FCx_D27/FCx_D27_EKRO230001528-1A_H3HYGDSX7_L4_2.fq.gz,auto
FCx_D27,/workspace/projects/ippas-kukla-dexrnaseq/raw/X204SC23040629-Z01-F001/01.RawData/FCx_D27/FCx_D27_EKRO230001528-1A_HYCC7DSX5_L3_1.fq.gz,/workspace/projects/ippas-kukla-dexrnaseq/raw/X204SC23040629-Z01-F001/01.RawData/FCx_D27/FCx_D27_EKRO230001528-1A_HYCC7DSX5_L3_2.fq.gz,auto
Hp_C21,/workspace/projects/ippas-kukla-dexrnaseq/raw/X204SC23040629-Z01-F001/01.RawData/Hp_C21/Hp_C21_EKRO230001505-1A_HYCC7DSX5_L3_1.fq.gz,/workspace/projects/ippas-kukla-dexrnaseq/raw/X204SC23040629-Z01-F001/01.RawData/Hp_C21/Hp_C21_EKRO230001505-1A_HYCC7DSX5_L3_2.fq.gz,auto
Hp_C22,/workspace/projects/ippas-kukla-dexrnaseq/raw/X204SC23040629-Z01-F001/01.RawData/Hp_C22/Hp_C22_EKRO230001509-1A_HYCC7DSX5_L3_1.fq.gz,/workspace/projects/ippas-kukla-dexrnaseq/raw/X204SC23040629-Z01-F001/01.RawData/Hp_C22/Hp_C22_EKRO230001509-1A_HYCC7DSX5_L3_2.fq.gz,auto
Hp_C23,/workspace/projects/ippas-kukla-dexrnaseq/raw/X204SC23040629-Z01-F001/01.RawData/Hp_C23/Hp_C23_EKRO230001513-1A_HYCC7DSX5_L3_1.fq.gz,/workspace/projects/ippas-kukla-dexrnaseq/raw/X204SC23040629-Z01-F001/01.RawData/Hp_C23/Hp_C23_EKRO230001513-1A_HYCC7DSX5_L3_2.fq.gz,auto
Hp_C24,/workspace/projects/ippas-kukla-dexrnaseq/raw/X204SC23040629-Z01-F001/01.RawData/Hp_C24/Hp_C24_EKRO230001517-1A_HYCC7DSX5_L3_1.fq.gz,/workspace/projects/ippas-kukla-dexrnaseq/raw/X204SC23040629-Z01-F001/01.RawData/Hp_C24/Hp_C24_EKRO230001517-1A_HYCC7DSX5_L3_2.fq.gz,auto
Hp_C25,/workspace/projects/ippas-kukla-dexrnaseq/raw/X204SC23040629-Z01-F001/01.RawData/Hp_C25/Hp_C25_EKRO230001521-1A_HYCC7DSX5_L3_1.fq.gz,/workspace/projects/ippas-kukla-dexrnaseq/raw/X204SC23040629-Z01-F001/01.RawData/Hp_C25/Hp_C25_EKRO230001521-1A_HYCC7DSX5_L3_2.fq.gz,auto
Hp_C26,/workspace/projects/ippas-kukla-dexrnaseq/raw/X204SC23040629-Z01-F001/01.RawData/Hp_C26/Hp_C26_EKRO230001525-1A_HYCC7DSX5_L3_1.fq.gz,/workspace/projects/ippas-kukla-dexrnaseq/raw/X204SC23040629-Z01-F001/01.RawData/Hp_C26/Hp_C26_EKRO230001525-1A_HYCC7DSX5_L3_2.fq.gz,auto
Hp_C27,/workspace/projects/ippas-kukla-dexrnaseq/raw/X204SC23040629-Z01-F001/01.RawData/Hp_C27/Hp_C27_EKRO230001529-1A_HYCC7DSX5_L3_1.fq.gz,/workspace/projects/ippas-kukla-dexrnaseq/raw/X204SC23040629-Z01-F001/01.RawData/Hp_C27/Hp_C27_EKRO230001529-1A_HYCC7DSX5_L3_2.fq.gz,auto
Hp_D21,/workspace/projects/ippas-kukla-dexrnaseq/raw/X204SC23040629-Z01-F001/01.RawData/Hp_D21/Hp_D21_EKRO230001506-1A_HYCC7DSX5_L3_1.fq.gz,/workspace/projects/ippas-kukla-dexrnaseq/raw/X204SC23040629-Z01-F001/01.RawData/Hp_D21/Hp_D21_EKRO230001506-1A_HYCC7DSX5_L3_2.fq.gz,auto
Hp_D22,/workspace/projects/ippas-kukla-dexrnaseq/raw/X204SC23040629-Z01-F001/01.RawData/Hp_D22/Hp_D22_EKRO230001510-1A_HYCC7DSX5_L3_1.fq.gz,/workspace/projects/ippas-kukla-dexrnaseq/raw/X204SC23040629-Z01-F001/01.RawData/Hp_D22/Hp_D22_EKRO230001510-1A_HYCC7DSX5_L3_2.fq.gz,auto
Hp_D23,/workspace/projects/ippas-kukla-dexrnaseq/raw/X204SC23040629-Z01-F001/01.RawData/Hp_D23/Hp_D23_EKRO230001514-1A_HYCC7DSX5_L3_1.fq.gz,/workspace/projects/ippas-kukla-dexrnaseq/raw/X204SC23040629-Z01-F001/01.RawData/Hp_D23/Hp_D23_EKRO230001514-1A_HYCC7DSX5_L3_2.fq.gz,auto
Hp_D24,/workspace/projects/ippas-kukla-dexrnaseq/raw/X204SC23040629-Z01-F001/01.RawData/Hp_D24/Hp_D24_EKRO230001518-1A_HYCC7DSX5_L3_1.fq.gz,/workspace/projects/ippas-kukla-dexrnaseq/raw/X204SC23040629-Z01-F001/01.RawData/Hp_D24/Hp_D24_EKRO230001518-1A_HYCC7DSX5_L3_2.fq.gz,auto
Hp_D25,/workspace/projects/ippas-kukla-dexrnaseq/raw/X204SC23040629-Z01-F001/01.RawData/Hp_D25/Hp_D25_EKRO230001522-1A_HYCC7DSX5_L3_1.fq.gz,/workspace/projects/ippas-kukla-dexrnaseq/raw/X204SC23040629-Z01-F001/01.RawData/Hp_D25/Hp_D25_EKRO230001522-1A_HYCC7DSX5_L3_2.fq.gz,auto
Hp_D26,/workspace/projects/ippas-kukla-dexrnaseq/raw/X204SC23040629-Z01-F001/01.RawData/Hp_D26/Hp_D26_EKRO230001526-1A_HYCC7DSX5_L3_1.fq.gz,/workspace/projects/ippas-kukla-dexrnaseq/raw/X204SC23040629-Z01-F001/01.RawData/Hp_D26/Hp_D26_EKRO230001526-1A_HYCC7DSX5_L3_2.fq.gz,auto
Hp_D27,/workspace/projects/ippas-kukla-dexrnaseq/raw/X204SC23040629-Z01-F001/01.RawData/Hp_D27/Hp_D27_EKRO230001530-1A_HYCC7DSX5_L3_1.fq.gz,/workspace/projects/ippas-kukla-dexrnaseq/raw/X204SC23040629-Z01-F001/01.RawData/Hp_D27/Hp_D27_EKRO230001530-1A_HYCC7DSX5_L3_2.fq.gz,auto
